Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Occupation_Label,Total_Expense,Total_Potential_Savings,Effective_Income,Overspending,Predicted_Expense
44637,49,0,2,0,13391,0,2206,6658,2636,1651,1536,2911,1546,0,831,13,6200,11265,1685,328,465,195,678,67,0,85,,33366,7006,17465,True,32567.970334488014
26858,34,2,1,1,5371,0,869,2818,1543,649,1050,1626,1137,1551,564,7,1923,9676,540,119,141,234,286,6,56,97,,17178,2958,11599,True,18201.33995690535
50367,35,1,3,2,7555,4612,2201,6313,3221,1513,1723,3368,2178,3160,628,13,7050,13891,1466,473,410,459,488,7,106,138,,36472,7094,20941,True,36240.40448039086
101455,21,0,2,2,15218,6809,4889,14690,7106,5040,2858,6128,4571,0,2526,16,16694,31617,1875,762,1241,320,1389,193,0,296,,69835,12152,48311,True,70358.17649286117
24875,52,4,0,1,4975,3112,635,3034,1276,692,660,1092,1169,1445,515,7,1874,6265,788,68,61,187,194,47,67,96,,18605,3016,8139,True,18879.328783881778
24875,57,4,2,1,4975,0,1038,3250,1760,1049,751,1024,1022,2003,402,5,1478,7599,957,521,135,148,86,13,33,96,,17274,3978,9077,True,18179.44413680315
106119,53,0,2,1,21223,0,4360,12790,6345,4390,2626,6202,3807,0,2776,17,18399,41595,2799,912,438,541,838,111,0,409,,64519,12096,59994,True,66645.0417755105
55431,40,1,0,1,11086,8307,1755,8194,3353,1741,1219,2361,2574,5520,850,11,6636,8465,1059,838,466,327,353,92,116,71,,46960,6644,15101,True,45970.444952132515
20606,32,4,1,0,6182,3562,1018,3066,1170,688,418,921,830,1939,446,6,362,362,822,212,85,97,252,9,59,80,,20240,3232,724,True,19838.917650596773
46304,30,1,3,1,9260,0,2130,5065,2500,2040,1016,2945,1649,3085,919,12,5615,15690,962,380,598,188,793,34,39,203,,30609,6394,21305,True,31638.852932914513
20706,31,0,3,2,3106,0,1031,3037,1459,451,785,1548,819,0,410,8,1729,8058,503,392,35,230,262,38,0,77,,12646,3074,9787,True,12737.388822193689
20668,31,4,0,1,4133,0,754,2597,1123,878,643,1408,1019,1506,483,8,1704,6119,554,267,119,123,271,1,29,94,,14544,2916,7823,True,14642.365201956189
36407,54,3,1,0,10922,4583,970,4685,2503,1328,822,2335,1153,1940,570,7,2743,4590,445,190,346,85,474,40,85,40,,31811,3410,7333,True,31659.880989648478
6492,22,3,1,2,973,0,184,955,494,309,229,471,222,590,179,7,464,1880,180,38,59,49,60,3,20,46,,4606,910,2344,True,3461.6755260535165
7547,39,4,2,1,1509,0,330,1032,568,266,277,510,235,521,133,5,412,2161,208,114,72,77,97,2,4,36,,5381,1220,2573,True,4525.15726358302
19132,45,2,3,1,3826,2525,590,2515,1164,661,660,1159,919,1442,461,8,1533,3204,323,108,183,101,314,17,66,92,,15922,2408,4737,True,15034.299611647923
13342,62,4,1,1,2668,2540,352,1920,961,622,331,985,531,1043,286,8,1086,1098,568,205,154,96,263,20,5,61,,12239,2744,2184,True,10977.812091426502
38574,21,4,0,1,7714,0,1838,5126,2614,1267,1802,2081,1196,3475,843,6,2666,10612,862,202,217,113,435,6,41,179,,27956,4110,13278,True,29715.917049068612
14509,55,4,3,0,4352,829,438,1506,811,515,414,766,656,1449,285,7,1049,2482,384,194,34,99,55,7,41,84,,12021,1796,3531,True,11230.658263773039
9692,46,0,0,1,1938,0,217,1306,562,396,427,723,305,0,155,5,505,3659,138,102,118,69,66,3,0,19,,6029,1030,4164,True,5139.190227021955
96903,54,4,1,1,19380,9481,3585,14257,6271,2829,3879,4066,3956,6227,2131,13,13125,20836,4013,1649,584,200,451,191,295,404,,76062,15574,33961,True,76600.43129993815
25042,52,4,2,1,5008,2898,914,3170,1947,1098,839,1321,1066,1470,407,5,1439,4900,859,335,218,161,355,50,33,70,,20138,4162,6339,True,20392.173781703517
31665,37,0,3,0,9499,0,1034,4019,2180,1373,876,1686,1579,0,623,6,2164,8792,1182,273,126,262,294,39,0,186,,22869,4724,10956,True,23560.86395429366
9596,52,4,1,1,1919,0,320,1092,627,429,379,515,417,540,258,5,522,3095,309,86,72,52,142,6,15,21,,6496,1406,3617,True,5926.34665990452
19408,52,3,1,0,5822,2832,516,2486,1346,956,930,1041,592,1604,452,6,826,826,541,254,119,170,120,19,79,109,,18577,2822,1652,True,17732.411086665634
32783,37,3,0,1,6556,0,946,4815,1788,1519,1452,1557,1175,2225,973,9,3073,9772,322,491,258,293,192,35,68,251,,23006,3820,12845,True,23720.37207329821
11946,19,4,3,1,2389,0,413,1363,641,475,497,699,404,782,130,5,670,4147,322,62,133,111,101,19,0,15,,7793,1526,4817,True,7573.564643541036
40518,35,0,1,2,6077,0,1992,6013,3205,1070,1146,2250,1221,0,1073,14,5993,16466,1338,502,77,271,266,47,0,61,,24047,5124,22459,True,24481.629491271073
18554,47,4,2,1,3710,1192,916,2512,1393,674,773,1169,795,1575,416,9,1793,3422,338,399,151,189,128,29,31,111,,15125,2752,5215,True,14305.93361601065
